FlightNum,FuelCost
EVA626,92947.73
DHK786,99769.35
TRA3121,12818.3
FDX6272,3513.13
ABR4211,4729.99
ABR4026,4458.43
CES9885,4008.23
CXA3312,4008.23
CXA1023,3378.17
CXA3081,2712.87
CSN4131,3248.73
HBH8165,3248.73
CES8129,3248.73
CDC3131,3248.73
CSC2083,3248.73
CUA5680,3599.83
CES8782,3599.83
CBJ5316,6874.2
CXA4656,4719.81
CSN3732,3609.07
CES5188,2144.37
CES2108,3591.07
CSN8815,4719.81
CXA8128,3207.0
CDC3100,3207.0
CSC2064,3207.0
CUA2965,907.2
CES8677,907.2
CSN8823,3591.07
CXA4665,3591.07
CBJ5361,2712.87
CSN5528,3225.7
CCA8385,3451.6
CSZ4727,3451.6
CES5147,2712.87
CXA3106,2712.87
CSN6130,2335.54
CXA1909,2335.54
CSN5467,3850.39
CES5702,6472.74
CXA3067,6472.74
DKH5747,6472.74
CSN5500,4713.68
UPS11,117294.08
ANA4884,1514.96
CXA8612,5497.77
CQN2389,6273.86
CES5430,6901.46
CHB6267,6348.78
CHB6259,5568.81
CHH7142,3179.24
YZR7538,3439.99
CXA8408,6273.86
CUA5718,4719.81
HXA4141,2015.64
CCA4007,2877.71
CCA1432,4827.76
CSZ9424,3439.99
CXA8261,2036.92
UEA1881,5497.77
CSN8918,4719.81
CSN5124,3439.99
CSC3179,7154.77
CES2846,5568.81
CHH7268,4827.76
MWG3220,603.64
JJA508,1205.0
JJA118,1106.77
JNA310,1106.77
JNA564,1205.0
KAL1238,1106.77
AAR8940,1106.77
ABL8042,1106.77
AAR8042,1106.77
TWB720,1106.77
JJA116,1106.77
JNA308,1106.77
KAL1236,1106.77
ABL8028,1106.77
AAR8028,1106.77
JJA614,628.03
AAR8932,1106.77
ABL8182,1205.0
AAR8882,1205.0
ENT4101,11690.47
RYR2337,9762.29
RYR1764,4226.41
AJT8334,11436.38
DAE323,2571.71
BWA520,9740.02
ANG164,1519.65
ANG392,36324.46
ANG4005,9771.66
SIA8509,1048.34
QFA5202,1505.54
KQA2700,5813.79
SIA894,5406.15
ANA802,32908.39
IRM4538,866.92
IRM4532,866.92
